title,summary,production_code,original_air_date,season,number_in_season,number_in_series,n,ngram_n,tf,idf,tf_idf
Simpsons Roasting on an Open Fire,ho ho ho ho,7G08,1989-12-17,1,1,1,36,4,0.01282508015675098,4.948759890378168,0.0634682422706142
Bart the Genius,kwyjibo,7G02,1990-01-14,1,2,2,4,1,0.0014503263234227702,6.335054251498059,0.00918789594125897
Homer's Odyssey,nuclear energy,7G03,1990-01-21,1,3,3,5,2,0.0021691973969631237,4.948759890378168,0.010734837072403837
There's No Disgrace Like Home,arrrgh,7G04,1990-01-28,1,4,4,14,1,0.005100182149362477,4.948759890378168,0.025239576854387744
Bart the General,sound off,7G05,1990-02-04,1,5,5,4,2,0.0015785319652722968,6.335054251498059,0.01000008563772385
Moaning Lisa,he belongs,7G06,1990-02-11,1,6,6,4,2,0.0016799664006719867,5.641907070938114,0.009478214314889735
The Call of the Simpsons,bigfoot,7G09,1990-02-18,1,7,7,7,1,0.0031028368794326243,4.948759890378168,0.015355194695322332
The Telltale Head,jebediah,7G07,1990-02-25,1,8,8,7,1,0.002686108979278588,4.543294782270004,0.012203784910165015
Life on the Fast Lane,smooth yes,7G11,1990-03-18,1,9,9,4,2,0.0016155088852988692,6.335054251498059,0.010234336432145491
Homer's Night Out,spy camera,7G10,1990-03-25,1,10,10,11,2,0.00439297124600639,6.335054251498059,0.027829711168721506
The Crepes of Wrath,adil,7G13,1990-04-15,1,11,11,15,1,0.005549389567147614,6.335054251498059,0.035155683970577466
Krusty Gets Busted,krusty,7G12,1990-04-29,1,12,12,40,1,0.014234875444839857,1.324418957401803,0.01885293889539933
Some Enchanted Evening,ba ba ba ba ba,7G01,1990-05-13,1,13,13,23,5,0.009926629261976695,5.236441962829949,0.05198021801687045
"Bart Gets an ""F""",blah blah blah blah,7F03,1990-10-11,2,1,14,28,4,0.010455563853622106,4.137829674161839,0.043263342373611464
Simpson and Delilah,dimoxinil,7F02,1990-10-18,2,2,15,11,1,0.004273504273504274,6.335054251498059,0.027072881416658374
Treehouse of Horror,nevermore,7F04,1990-10-25,2,3,16,10,1,0.004086636697997548,6.335054251498059,0.02588906518797736
Two Cars in Every Garage and Three Eyes on Every Fish,mary bailey,7F01,1990-11-01,2,4,17,9,2,0.0032727272727272726,6.335054251498059,0.020732904823084555
Dancin' Homer,capital city,7F05,1990-11-08,2,5,18,18,2,0.006574141709276844,3.6270040503958487,0.023844438607423402
Dead Putting Society,six plus six,7F08,1990-11-15,2,6,19,5,3,0.0018477457501847746,6.335054251498059,0.011705569570395527
