tv_season,rank,title,network,rating
1950–1951,1,Texaco Star Theater,NBC,61.6
1950–1951,2,Fireside Theatre,NBC,52.6
1950–1951,3,Philco TV Playhouse,NBC,45.3
1950–1951,4,Your Show of Shows,NBC,42.6
1950–1951,5,The Colgate Comedy Hour,NBC,42.0
1950–1951,6,Gillette Cavalcade of Sports,NBC,41.3
1950–1951,7,The Lone Ranger,ABC,41.2
1950–1951,8,Arthur Godfrey's Talent Scouts,CBS,40.6
1950–1951,9,Hopalong Cassidy,NBC,39.9
1950–1951,10,Mama,CBS,39.7
1950–1951,11,Robert Montgomery Presents,NBC,38.8
1950–1951,12,"Martin Kane, Private Eye",NBC,37.8
1950–1951,13,Man Against Crime,CBS,37.4
1950–1951,14,Kraft Television Theatre,NBC,37.0
1950–1951,15,The Toast of the Town,CBS,36.5
1950–1951,16,The Aldrich Family,NBC,36.1
1950–1951,17,You Bet Your Life,NBC,36.0
1950–1951,18,Arthur Godfrey and His Friends,CBS,35.9
1950–1951,19,Armstrong Circle Theatre,NBC,35.6
1950–1951,19,Lights Out,NBC,35.6
1950–1951,19,Big Town,CBS,35.6
1950–1951,22,The Alan Young Show,CBS,34.4
1950–1951,23,Stop the Music,ABC,34.0
1950–1951,24,Studio One,CBS,33.8
1950–1951,25,The Big Story,NBC,33.7
1950–1951,26,Pabst Blue Ribbon Bouts,CBS,33.4
1950–1951,26,The Original Amateur Hour,NBC,33.4
1950–1951,28,The Ken Murray Show,CBS,32.1
1950–1951,29,Your Hit Parade,NBC,32.0
1950–1951,30,Lux Video Theatre,CBS,31.5
1950–1951,30,The Speidel Show,NBC,31.5
1951–1952,1,Arthur Godfrey's Talent Scouts,CBS,53.8
1951–1952,2,Texaco Star Theater,NBC,52.0
1951–1952,3,I Love Lucy,CBS,50.9
1951–1952,4,The Red Skelton Show,NBC,50.2
1951–1952,5,The Colgate Comedy Hour,NBC,45.3
1951–1952,6,Arthur Godfrey and His Friends,CBS,43.3
1951–1952,7,Fireside Theatre,NBC,43.1
1951–1952,8,Your Show of Shows,NBC,43.0
1951–1952,9,The Jack Benny Show,CBS,42.8
1951–1952,10,You Bet Your Life,NBC,42.1
1951–1952,11,Mama,CBS,41.3
1951–1952,12,Philco TV Playhouse,NBC,40.4
1951–1952,13,Amos 'n' Andy,CBS,38.9
1951–1952,14,Gangbusters,NBC,38.7
1951–1952,15,Big Town,CBS,38.5
1951–1952,16,Goodyear TV Playhouse,NBC,37.8
1951–1952,17,Pabst Blue Ribbon Bouts,CBS,37.5
1951–1952,18,The Lone Ranger,ABC,36.8
1951–1952,19,Gillette Cavalcade of Sports,NBC,36.5
1951–1952,20,All Star Revue,NBC,36.3
1951–1952,20,Dragnet,NBC,36.3
1951–1952,22,The Alan Young Show,CBS,35.8
1951–1952,23,Kraft Television Theatre,NBC,34.8
1951–1952,24,Armstrong Circle Theatre,NBC,34.7
1951–1952,25,Strike It Rich,CBS,34.5
